,id,zipcode,price,price_median,condition_type,status
253,1105000588,98118,349500.0,367500.0,regular,buy
254,3830630060,98030,245000.0,282255.0,regular,buy
257,5127001620,98059,315000.0,435000.0,regular,buy
258,9407100800,98045,255000.0,399500.0,regular,buy
260,8722101360,98112,780000.0,915000.0,regular,buy
261,8644000060,98198,237000.0,265000.0,regular,buy
262,3325069129,98074,525000.0,642000.0,regular,buy
263,1400300055,98144,425000.0,450000.0,regular,buy
264,2123039032,98070,369900.0,463750.0,good,buy
266,3438500192,98106,285000.0,315000.0,regular,buy
267,7974200510,98115,415000.0,567000.0,regular,buy
272,1745100140,98003,210000.0,267475.0,regular,buy
273,2976800796,98178,236000.0,278277.0,regular,buy
274,4235400186,98199,331000.0,689800.0,regular,buy
281,6874200960,98178,170000.0,278277.0,regular,buy
284,5634500392,98028,330000.0,445000.0,regular,buy
286,7214810350,98072,467000.0,515000.0,regular,buy
287,6647200060,98034,405000.0,445950.0,regular,buy
288,9552700140,98006,675000.0,760184.5,regular,buy
289,2200500350,98006,500000.0,760184.5,regular,buy
290,6113400046,98166,389999.0,390000.0,regular,buy
296,5468730030,98042,265000.0,292000.0,regular,buy
303,5104530560,98038,208633.0,342000.0,regular,buy
304,4330600350,98166,315000.0,390000.0,regular,buy
305,5016001535,98112,725000.0,915000.0,regular,buy
306,7280300196,98177,550000.0,554000.0,regular,buy
307,8651520400,98074,610750.0,642000.0,regular,buy
308,7171200445,98105,550700.0,675000.0,regular,buy
311,7994700030,98065,201000.0,500000.0,regular,buy
315,1328320800,98058,305000.0,335000.0,regular,buy
318,9521101455,98103,548000.0,550000.0,regular,buy
319,4337000335,98166,268750.0,390000.0,regular,buy
321,2597650240,98027,520000.0,570500.0,regular,buy
322,3353400435,98001,230000.0,260000.0,regular,buy
323,7972000240,98023,240000.0,268450.0,regular,buy
324,7520000520,98146,232000.0,305000.0,regular,buy
325,7520000520,98146,240500.0,305000.0,regular,buy
326,3530210260,98077,274975.0,652475.0,regular,buy
334,191100045,98040,940000.0,993750.0,good,buy
335,5009600070,98038,260000.0,342000.0,regular,buy
338,405100295,98133,265000.0,375000.0,regular,buy
339,4268200055,98178,245000.0,278277.0,regular,buy
340,3126069068,98052,485000.0,615000.0,regular,buy
343,7004200060,98070,309600.0,463750.0,regular,buy
345,3969300030,98178,165000.0,278277.0,regular,buy
346,3969300030,98178,239900.0,278277.0,regular,buy
347,4048400070,98059,320000.0,435000.0,regular,buy
348,808000070,98030,206600.0,282255.0,regular,buy
350,7325600160,98014,299000.0,415000.0,regular,buy
351,2757000030,98040,855000.0,993750.0,regular,buy
352,616000140,98166,315000.0,390000.0,regular,buy
353,3363900111,98103,437500.0,550000.0,good,buy
354,9262800171,98001,252000.0,260000.0,regular,buy
356,5416510830,98038,300000.0,342000.0,regular,buy
357,2201500030,98006,420000.0,760184.5,regular,buy
360,3211290370,98053,463000.0,635000.0,regular,buy
361,1072010350,98059,380000.0,435000.0,regular,buy
362,8856950070,98038,329500.0,342000.0,regular,buy
363,925059078,98033,604950.0,678350.0,regular,buy
369,3291800710,98056,338000.0,380000.0,regular,buy
370,6838700060,98056,280000.0,380000.0,regular,buy
371,2231500030,98133,315000.0,375000.0,good,buy
374,8155830060,98056,297000.0,380000.0,regular,buy
375,98020310,98075,730000.0,739999.0,regular,buy
377,1545804860,98038,275000.0,342000.0,regular,buy
379,7132300695,98144,435000.0,450000.0,regular,buy
382,808300310,98019,389000.0,401250.0,regular,buy
383,8563040160,98052,560000.0,615000.0,regular,buy
385,8651600160,98040,799000.0,993750.0,regular,buy
386,9517200030,98072,365500.0,515000.0,regular,buy
387,2460700700,98058,252350.0,335000.0,regular,buy
389,2890100060,98177,385000.0,554000.0,regular,buy
391,8857320070,98008,490000.0,545000.0,regular,buy
392,4047200695,98019,330000.0,401250.0,regular,buy
393,1653500070,98004,927000.0,1150000.0,regular,buy
395,3649100320,98028,330000.0,445000.0,good,buy
396,7375300160,98008,530000.0,545000.0,regular,buy
399,2473251090,98058,269900.0,335000.0,regular,buy
400,9126100861,98122,557000.0,572000.0,regular,buy
402,6021501685,98117,352000.0,544000.0,regular,buy
404,8856950240,98038,322500.0,342000.0,regular,buy
406,7821200390,98103,450000.0,550000.0,regular,buy
407,8078520310,98092,278500.0,309780.0,regular,buy
410,6700400140,98031,268000.0,288200.0,regular,buy
412,1774220160,98077,632925.0,652475.0,regular,buy
415,3426059070,98052,570000.0,615000.0,regular,buy
418,8724300030,98019,355000.0,401250.0,regular,buy
420,625049299,98103,482000.0,550000.0,regular,buy
421,6073200075,98006,625000.0,760184.5,good,buy
424,7942600310,98122,375000.0,572000.0,regular,buy
425,1545808560,98038,245000.0,342000.0,good,buy
426,936000060,98166,310000.0,390000.0,regular,buy
428,3754700160,98034,397000.0,445950.0,regular,buy
433,646910160,98055,237000.0,294950.0,regular,buy
435,2268400350,98006,749000.0,760184.5,regular,buy
438,9528102772,98115,438000.0,567000.0,regular,buy
440,3353401710,98001,227950.0,260000.0,good,buy
441,8159610030,98001,196000.0,260000.0,regular,buy
442,3179100435,98105,641000.0,675000.0,regular,buy
444,8857600960,98032,205000.0,249000.0,regular,buy
445,1774000200,98072,400000.0,515000.0,regular,buy
451,3775300030,98011,333500.0,470000.0,regular,buy
452,2525300030,98038,232000.0,342000.0,regular,buy
453,1324059104,98006,691100.0,760184.5,regular,buy
454,2287000030,98040,811000.0,993750.0,regular,buy
456,1529200340,98072,496500.0,515000.0,regular,buy
459,1796360350,98042,255000.0,292000.0,good,buy
462,8944290160,98031,230000.0,288200.0,regular,buy
464,7282300125,98133,330000.0,375000.0,regular,buy
475,3629920030,98029,520000.0,575000.0,regular,buy
477,6844700810,98115,438924.0,567000.0,regular,buy
478,66000070,98126,315000.0,395750.0,regular,buy
479,6665800030,98033,590000.0,678350.0,regular,buy
480,2205700350,98006,378500.0,760184.5,regular,buy
487,1895000260,98118,207950.0,367500.0,regular,buy
488,8691370400,98075,699900.0,739999.0,regular,buy
490,8562501040,98052,452000.0,615000.0,regular,buy
492,7942100310,98042,232000.0,292000.0,good,buy
494,1727500340,98034,397500.0,445950.0,regular,buy
495,9828702519,98112,490000.0,915000.0,regular,buy
499,7852030960,98065,437500.0,500000.0,regular,buy
501,7518503335,98117,475000.0,544000.0,regular,buy
504,8906200070,98055,280000.0,294950.0,regular,buy
505,5379805885,98188,240000.0,264000.0,regular,buy
506,2769600560,98107,529000.0,529950.0,regular,buy
507,9238901420,98136,442000.0,489950.0,regular,buy
508,5113400431,98119,615000.0,744975.0,regular,buy
510,8121200810,98052,585000.0,615000.0,regular,buy
513,2827100070,98133,290000.0,375000.0,regular,buy
515,4402700070,98133,300000.0,375000.0,regular,buy
520,1432400335,98058,288000.0,335000.0,good,buy
521,1180003090,98178,190000.0,278277.0,regular,buy
523,3340401555,98055,235000.0,294950.0,regular,buy
524,7453000070,98126,275000.0,395750.0,regular,buy
525,4348800030,98004,727500.0,1150000.0,regular,buy
528,6381500700,98125,365000.0,425000.0,regular,buy
530,1545807610,98038,270500.0,342000.0,regular,buy
531,1843200240,98092,200000.0,309780.0,regular,buy
533,2008200060,98198,160000.0,265000.0,regular,buy
534,1521069070,98010,204000.0,359999.5,regular,buy
536,6204420070,98011,452000.0,470000.0,regular,buy
538,5466410030,98042,249000.0,292000.0,regular,buy
541,2270000070,98056,280000.0,380000.0,regular,buy
543,224069094,98075,530000.0,739999.0,regular,buy
547,7899800860,98106,259950.0,315000.0,regular,buy
548,2473420140,98058,315000.0,335000.0,regular,buy
549,5000500055,98168,215000.0,235000.0,regular,buy
550,4099500935,98040,705000.0,993750.0,regular,buy
553,3294700310,98055,261000.0,294950.0,regular,buy
554,8718500075,98028,396000.0,445000.0,good,buy
557,236400320,98188,238000.0,264000.0,regular,buy
560,3624079046,98065,460000.0,500000.0,regular,buy
564,5307100060,98005,638700.0,765475.0,regular,buy
565,7203102050,98053,435000.0,635000.0,regular,buy
566,561000075,98178,260000.0,278277.0,regular,buy
567,2436701180,98105,671500.0,675000.0,good,buy
568,809002765,98109,610000.0,736000.0,regular,buy
569,4045500710,98014,405000.0,415000.0,regular,buy
570,5104510270,98038,338900.0,342000.0,regular,buy
571,98020350,98075,720000.0,739999.0,regular,buy
574,2473360060,98058,263500.0,335000.0,regular,buy
575,222069082,98038,300000.0,342000.0,regular,buy
579,8945200860,98023,180000.0,268450.0,regular,buy
581,7511800070,98003,264000.0,267475.0,regular,buy
583,3876300310,98034,439000.0,445950.0,regular,buy
584,5419800510,98031,268500.0,288200.0,regular,buy
585,192460060,98045,330000.0,399500.0,regular,buy
590,2525069041,98053,505000.0,635000.0,regular,buy
591,3620069036,98022,265000.0,279500.0,regular,buy
592,2781280390,98055,290000.0,294950.0,regular,buy
593,9542830350,98038,296000.0,342000.0,regular,buy
596,3278600240,98126,372500.0,395750.0,regular,buy
600,8682250350,98053,507000.0,635000.0,regular,buy
602,4233400340,98010,185000.0,359999.5,regular,buy
603,7199350340,98052,460000.0,615000.0,regular,buy
604,3904901710,98029,435500.0,575000.0,regular,buy
606,6865200444,98103,531000.0,550000.0,regular,buy
607,9498200046,98177,443500.0,554000.0,regular,buy
608,1796380960,98042,223000.0,292000.0,regular,buy
610,3126049411,98103,340000.0,550000.0,regular,buy
611,2321300390,98199,650000.0,689800.0,regular,buy
612,3905040800,98029,533600.0,575000.0,regular,buy
614,5115000160,98031,242000.0,288200.0,regular,buy
616,6600700030,98052,525000.0,615000.0,regular,buy
617,3904930240,98029,485000.0,575000.0,regular,buy
618,9407110700,98045,175000.0,399500.0,regular,buy
619,1682500160,98092,210000.0,309780.0,regular,buy
620,8078570390,98031,260000.0,288200.0,regular,buy
622,9500900135,98002,200000.0,235000.0,regular,buy
624,6411600069,98133,325000.0,375000.0,regular,buy
628,7010700292,98199,543500.0,689800.0,regular,buy
630,5437820310,98022,218000.0,279500.0,good,buy
631,582000135,98199,565000.0,689800.0,regular,buy
634,9550204515,98105,542000.0,675000.0,regular,buy
635,7199330390,98052,415000.0,615000.0,regular,buy
636,6131600060,98002,214000.0,235000.0,regular,buy
637,5379805460,98188,245000.0,264000.0,good,buy
640,4315700060,98136,378000.0,489950.0,regular,buy
644,7852180340,98065,430000.0,500000.0,regular,buy
645,1545804340,98038,240000.0,342000.0,regular,buy
647,2218000335,98105,530000.0,675000.0,regular,buy
648,922049078,98198,157000.0,265000.0,regular,buy
650,4338800370,98166,220000.0,390000.0,regular,buy
651,7214700350,98077,521000.0,652475.0,regular,buy
652,3226200105,98118,325000.0,367500.0,regular,buy
654,7849202231,98065,337000.0,500000.0,regular,buy
657,2985800030,98105,495000.0,675000.0,regular,buy
659,708000030,98004,888000.0,1150000.0,regular,buy
660,192460310,98045,269900.0,399500.0,regular,buy
661,9412200260,98027,496500.0,570500.0,regular,buy
663,6798100662,98125,312000.0,425000.0,regular,buy
664,1775920350,98072,323000.0,515000.0,regular,buy
665,2525500260,98059,331000.0,435000.0,regular,buy
666,6145600041,98133,306000.0,375000.0,regular,buy
670,2710600045,98115,460000.0,567000.0,regular,buy
671,5101405124,98115,435000.0,567000.0,regular,buy
672,6067910030,98006,664000.0,760184.5,good,buy
676,7846700310,98045,280000.0,399500.0,regular,buy
677,3348401740,98178,188000.0,278277.0,regular,buy
678,3013300288,98136,478500.0,489950.0,regular,buy
680,5029450160,98023,222000.0,268450.0,regular,buy
684,5102400105,98115,400000.0,567000.0,regular,buy
688,1566100400,98115,387500.0,567000.0,regular,buy
689,1775800800,98072,396000.0,515000.0,regular,buy
693,8024200350,98115,410000.0,567000.0,regular,buy
695,7697870860,98030,245000.0,282255.0,regular,buy
696,7527200030,98075,700000.0,739999.0,good,buy
698,766500030,98042,225000.0,292000.0,regular,buy
699,6664000030,98004,980000.0,1150000.0,regular,buy
701,1895000045,98118,195000.0,367500.0,regular,buy
703,7011200260,98119,485000.0,744975.0,regular,buy
704,41000454,98188,130000.0,264000.0,regular,buy
706,9477200560,98034,440000.0,445950.0,regular,buy
708,5231000060,98059,310000.0,435000.0,good,buy
711,7967200060,98001,243000.0,260000.0,regular,buy
712,8077210350,98074,639000.0,642000.0,regular,buy
713,7203000640,98003,215000.0,267475.0,regular,buy
714,2988000070,98011,405000.0,470000.0,regular,buy
719,4233400400,98010,267000.0,359999.5,regular,buy
720,3793500550,98038,289950.0,342000.0,regular,buy
725,2473400340,98058,320000.0,335000.0,good,buy
726,3530490070,98198,210000.0,265000.0,regular,buy
727,1932300075,98126,245000.0,395750.0,regular,buy
728,2525000510,98059,328000.0,435000.0,regular,buy
731,2723089104,98045,315000.0,399500.0,regular,buy
737,9346980140,98006,605000.0,760184.5,regular,buy
739,8159610060,98001,233000.0,260000.0,regular,buy
741,1588600045,98117,459000.0,544000.0,regular,buy
743,1771000890,98077,305000.0,652475.0,regular,buy
744,3300701170,98117,395000.0,544000.0,regular,buy
748,579003610,98117,517500.0,544000.0,regular,buy
749,1138020200,98034,435000.0,445950.0,regular,buy
750,3432500200,98155,329999.0,375000.0,regular,buy
754,4385700765,98112,850000.0,915000.0,good,buy
760,6979900390,98053,565000.0,635000.0,regular,buy
761,6379500159,98116,400000.0,562750.0,regular,buy
762,826079094,98019,330000.0,401250.0,regular,buy
765,3575200070,98074,560000.0,642000.0,regular,buy
766,8146100270,98004,824000.0,1150000.0,regular,buy
767,8648200030,98042,260000.0,292000.0,good,buy
771,3343901234,98056,341500.0,380000.0,regular,buy
772,226039214,98177,465250.0,554000.0,regular,buy
773,1623300160,98117,450000.0,544000.0,regular,buy
774,2205500575,98006,390000.0,760184.5,regular,buy
775,4040800810,98008,420000.0,545000.0,regular,buy
777,3814400125,98122,493000.0,572000.0,regular,buy
780,7230200340,98059,305000.0,435000.0,good,buy
781,3191000240,98034,400000.0,445950.0,good,buy
782,1139000069,98133,320000.0,375000.0,regular,buy
785,8731901940,98023,218000.0,268450.0,regular,buy
786,2688100071,98117,500000.0,544000.0,regular,buy
787,2423069155,98027,460000.0,570500.0,regular,buy
788,2329500260,98003,232500.0,267475.0,regular,buy
790,1494300060,98052,522000.0,615000.0,regular,buy
794,1623049062,98168,210000.0,235000.0,regular,buy
798,7852020640,98065,470000.0,500000.0,regular,buy
802,7940700260,98034,422120.0,445950.0,regular,buy
804,4365200860,98126,385200.0,395750.0,regular,buy
805,3904980030,98029,500000.0,575000.0,regular,buy
807,6067900060,98006,565000.0,760184.5,good,buy
808,7202340960,98053,581000.0,635000.0,regular,buy
810,259600260,98008,345000.0,545000.0,regular,buy
811,7234600903,98122,419000.0,572000.0,regular,buy
812,4307350200,98056,347000.0,380000.0,regular,buy
813,3276930400,98075,625000.0,739999.0,regular,buy
816,4057300200,98029,310000.0,575000.0,regular,buy
817,1922059135,98030,250000.0,282255.0,regular,buy
819,1565900070,98022,246500.0,279500.0,regular,buy
823,726049190,98133,287500.0,375000.0,regular,buy
825,4006000251,98118,226000.0,367500.0,regular,buy
827,1610000016,98168,175000.0,235000.0,regular,buy
828,7376300060,98008,465750.0,545000.0,regular,buy
829,7300200550,98075,659000.0,739999.0,regular,buy
834,5066400483,98001,249900.0,260000.0,regular,buy
836,8682262400,98053,430000.0,635000.0,regular,buy
837,8682262400,98053,419950.0,635000.0,regular,buy
841,6450303785,98133,320000.0,375000.0,regular,buy
842,9429500045,98006,428750.0,760184.5,regular,buy
844,108000127,98177,456500.0,554000.0,regular,buy
845,1081300200,98059,352000.0,435000.0,regular,buy
846,8818900060,98105,664000.0,675000.0,regular,buy
848,7197350070,98052,512000.0,615000.0,regular,buy
849,9510900270,98023,254000.0,268450.0,regular,buy
850,3905081070,98029,535800.0,575000.0,regular,buy
851,2322069114,98038,287653.0,342000.0,regular,buy
852,5637500070,98136,438000.0,489950.0,regular,buy
855,3056800160,98059,370500.0,435000.0,regular,buy
856,3654800200,98038,265000.0,342000.0,regular,buy
858,623069068,98027,425000.0,570500.0,good,buy
859,1865820370,98042,166600.0,292000.0,regular,buy
861,2359300030,98115,565000.0,567000.0,regular,buy
862,6403310060,98033,539900.0,678350.0,regular,buy
864,4137050060,98092,280000.0,309780.0,regular,buy
865,2310000240,98038,275000.0,342000.0,regular,buy
867,8665050060,98029,457500.0,575000.0,regular,buy
869,3327020400,98092,289999.0,309780.0,regular,buy
871,4039300400,98007,469950.0,555000.0,regular,buy
876,8802400416,98031,147500.0,288200.0,regular,buy
877,6204400270,98011,390000.0,470000.0,regular,buy
878,9536602080,98198,229000.0,265000.0,regular,buy
879,3826000070,98168,185000.0,235000.0,regular,buy
880,5101405335,98115,414900.0,567000.0,regular,buy
882,7749500370,98092,225000.0,309780.0,regular,buy
887,510002519,98103,466000.0,550000.0,regular,buy
888,1387300070,98011,374000.0,470000.0,regular,buy
889,9465910070,98072,480000.0,515000.0,regular,buy
894,880000189,98106,209000.0,315000.0,regular,buy
895,643500030,98007,431650.0,555000.0,regular,buy
896,8566100200,98040,980000.0,993750.0,regular,buy
899,8648220270,98042,291500.0,292000.0,regular,buy
900,1923000160,98040,905000.0,993750.0,regular,buy
903,3278600710,98126,200000.0,395750.0,regular,buy
904,2460700260,98058,300000.0,335000.0,regular,buy
905,3188100400,98115,530000.0,567000.0,good,buy
906,9406520830,98038,314950.0,342000.0,regular,buy
907,3387900390,98031,255000.0,288200.0,good,buy
909,7625701891,98136,435000.0,489950.0,regular,buy
910,3224800075,98002,234000.0,235000.0,regular,buy
912,3329530200,98001,205000.0,260000.0,regular,buy
918,4302200695,98106,270000.0,315000.0,regular,buy
919,1431700370,98058,290000.0,335000.0,good,buy
920,7524000030,98198,250000.0,265000.0,regular,buy
921,4046500320,98014,342000.0,415000.0,regular,buy
922,4325000125,98188,255000.0,264000.0,regular,buy
923,3456000160,98040,800000.0,993750.0,regular,buy
928,8730000270,98133,359000.0,375000.0,regular,buy
930,3395070640,98118,300000.0,367500.0,regular,buy
932,6151800624,98010,288349.0,359999.5,regular,buy
933,8594400370,98092,299900.0,309780.0,regular,buy
937,3432500486,98155,299995.0,375000.0,regular,buy
938,5466420030,98042,253000.0,292000.0,regular,buy
939,1324079046,98024,350000.0,460000.0,regular,buy
941,3332000135,98118,315000.0,367500.0,regular,buy
946,4167300030,98023,260000.0,268450.0,regular,buy
948,7708300140,98045,369950.0,399500.0,regular,buy
952,6203000160,98033,460500.0,678350.0,regular,buy
958,7279300070,98177,345500.0,554000.0,good,buy
961,7715800570,98074,385000.0,642000.0,regular,buy
962,6852700478,98102,425000.0,720000.0,regular,buy
963,1917300260,98022,210000.0,279500.0,good,buy
964,4298100070,98077,630000.0,652475.0,regular,buy
966,5462100240,98001,196500.0,260000.0,regular,buy
967,8651520510,98074,582800.0,642000.0,regular,buy
968,3578110200,98034,440000.0,445950.0,regular,buy
970,2313900510,98116,532500.0,562750.0,regular,buy
972,1455100116,98125,397500.0,425000.0,regular,buy
973,3629790160,98029,524250.0,575000.0,regular,buy
977,100600860,98023,237500.0,268450.0,regular,buy
978,421049116,98003,216000.0,267475.0,regular,buy
980,8899200570,98055,280000.0,294950.0,regular,buy
981,1777500160,98006,718000.0,760184.5,regular,buy
982,7853340860,98065,420000.0,500000.0,regular,buy
983,1862400132,98117,379000.0,544000.0,regular,buy
984,6380500135,98177,326100.0,554000.0,regular,buy
985,9528104108,98115,535000.0,567000.0,regular,buy
989,3904910320,98029,484950.0,575000.0,regular,buy
990,4100000140,98005,640000.0,765475.0,regular,buy
993,5559600140,98003,253000.0,267475.0,regular,buy
994,5147600105,98146,178500.0,305000.0,regular,buy
995,7437100570,98038,291000.0,342000.0,regular,buy
996,8856004730,98001,199950.0,260000.0,regular,buy
997,3856902996,98105,553500.0,675000.0,regular,buy
998,1442800370,98038,189950.0,342000.0,regular,buy
1001,984000710,98058,270000.0,335000.0,regular,buy
1002,4167300350,98023,258000.0,268450.0,regular,buy
1004,8946750030,98092,245000.0,309780.0,regular,buy
1009,4310700570,98103,280300.0,550000.0,regular,buy
1010,1254200075,98117,460000.0,544000.0,good,buy
1011,7214820030,98072,475000.0,515000.0,regular,buy
1013,686201000,98008,538200.0,545000.0,regular,buy
1014,342000570,98122,429000.0,572000.0,regular,buy
1015,5476200160,98178,164808.0,278277.0,regular,buy
1016,7199320570,98052,520000.0,615000.0,regular,buy
1021,2025700860,98038,287000.0,342000.0,regular,buy
1022,8562500200,98052,375000.0,615000.0,regular,buy
1023,8143100350,98034,349500.0,445950.0,regular,buy
1027,2224700136,98133,315000.0,375000.0,regular,buy
1028,7697920160,98030,245000.0,282255.0,regular,buy
1029,1370804430,98199,543115.0,689800.0,regular,buy
1032,8682231170,98053,554000.0,635000.0,regular,buy
1033,3353400860,98001,249900.0,260000.0,good,buy
1037,789000550,98103,415000.0,550000.0,regular,buy
1039,7215722010,98075,566000.0,739999.0,regular,buy
1040,16000435,98002,218500.0,235000.0,regular,buy
1041,7197300105,98052,550000.0,615000.0,regular,buy
1042,2877101031,98117,512031.0,544000.0,regular,buy
1043,2892600016,98055,197500.0,294950.0,regular,buy
1044,2423020270,98033,470000.0,678350.0,regular,buy
